[19-Mar-2026 01:45:30 America/New_York] GPS action: get_shift_status, driver_id: 1, lat: , lng: 
[19-Mar-2026 01:45:33 America/New_York] GPS action: update_location, driver_id: 1, lat: 13.8823655, lng: 121.0363235
[19-Mar-2026 01:45:33 America/New_York] GPS action: update_location, driver_id: 1, lat: 13.8823655, lng: 121.0363235
[19-Mar-2026 01:45:33 America/New_York] GPS action: update_location, driver_id: 1, lat: 13.8823655, lng: 121.0363235
[19-Mar-2026 01:45:33 America/New_York] GPS action: update_location, driver_id: 1, lat: 13.8823655, lng: 121.0363235
[19-Mar-2026 01:45:49 America/New_York] GPS action: get_shift_status, driver_id: 1, lat: , lng: 
[19-Mar-2026 01:45:49 America/New_York] GPS action: update_location, driver_id: 1, lat: 13.8824341, lng: 121.03614985
[19-Mar-2026 01:45:49 America/New_York] GPS action: update_location, driver_id: 1, lat: 13.8824341, lng: 121.03614985
[19-Mar-2026 01:45:49 America/New_York] GPS action: update_location, driver_id: 1, lat: 13.8824341, lng: 121.03614985
[19-Mar-2026 01:45:54 America/New_York] GPS action: update_location, driver_id: 1, lat: 13.8824341, lng: 121.03614985
[19-Mar-2026 02:21:50 America/New_York] GPS action: get_shift_status, driver_id: 1, lat: , lng: 
[20-Mar-2026 07:29:07 America/New_York] GPS action: get_shift_status, driver_id: 1, lat: , lng: 
[20-Mar-2026 07:29:09 America/New_York] GPS action: update_location, driver_id: 1, lat: 13.863598909, lng: 120.994689234
[20-Mar-2026 07:29:09 America/New_York] GPS action: update_location, driver_id: 1, lat: 13.863598909, lng: 120.994689234
[20-Mar-2026 07:29:10 America/New_York] GPS action: update_location, driver_id: 1, lat: 13.863598909, lng: 120.994689234
[20-Mar-2026 07:29:10 America/New_York] GPS action: update_location, driver_id: 1, lat: 13.863598909, lng: 120.994689234
[20-Mar-2026 07:29:41 America/New_York] GPS action: get_shift_status, driver_id: 1, lat: , lng: 
[20-Mar-2026 07:29:42 America/New_York] GPS action: update_location, driver_id: 1, lat: 13.863598909, lng: 120.994689234
[20-Mar-2026 07:29:42 America/New_York] GPS action: update_location, driver_id: 1, lat: 13.863598909, lng: 120.994689234
[20-Mar-2026 07:29:42 America/New_York] GPS action: update_location, driver_id: 1, lat: 13.863598909, lng: 120.994689234
[20-Mar-2026 07:29:45 America/New_York] GPS action: update_location, driver_id: 1, lat: 13.863602183, lng: 120.99469155
[20-Mar-2026 07:31:29 America/New_York] GPS action: update_location, driver_id: 1, lat: 13.8636151966, lng: 120.994683824
[22-Mar-2026 23:17:11 America/New_York] GPS action: get_shift_status, driver_id: 1, lat: , lng: 
[22-Mar-2026 23:17:13 America/New_York] GPS action: update_location, driver_id: 1, lat: 13.8823655, lng: 121.0363235
[22-Mar-2026 23:17:13 America/New_York] GPS action: update_location, driver_id: 1, lat: 13.8823655, lng: 121.0363235
[22-Mar-2026 23:17:13 America/New_York] GPS action: update_location, driver_id: 1, lat: 13.8823655, lng: 121.0363235
[22-Mar-2026 23:17:14 America/New_York] GPS action: update_location, driver_id: 1, lat: 13.8823655, lng: 121.0363235
